MEREK,BRAND,TIPE HOSE,Working Pressure Bar,Working Pressure Psi,Hose O.D. (mm),Hose O.D. (in),Hose I.D. (mm),Hose I.D. (in),Temperature Range (°C),Bend Radius (mm),tipe kawat,Standard,Inch,DN,Min Burst Pressure bar,Min Bar Pressure psi,Type Bend
AEQROQUIP,DANFOSS,EC810-16,420.0,6100.0,39.0,1.54,25.4,1,-57°C to +100°C,340.0,4S - 4 Wire Spiral,MSHA IC-84/68,,,1680.0,24360.0,
AEQROQUIP,DANFOSS,EC810-20,420.0,6100.0,49.9,1.95,31.8,1.25,-57°C to +100°C,420.0,6S - 6 Wire Spiral,MSHA IC-84/68,,,1680.0,24360.0,
AEQROQUIP,DANFOSS,EC810-24,420.0,6100.0,57.3,2.26,28.1,1.5,-57°C to +100°C,510.0,6S - 6 Wire Spiral,MSHA IC-84/68,,,1680.0,24360.0,
AEQROQUIP,DANFOSS,EC810-30,420.0,6100.0,71.1,2.8,50.8,2,-57°C to +100°C,630.0,6S - 6 Wire Spiral,MSHA IC-84/68,,,1680.0,24360.0,
AEQROQUIP,DANFOSS,EC850-10,500.0,7250.0,29.0,1.14,15.9,0.63, -40°C to 100°C,200.0,4S - 4 Wire Spiral,SAE 100R15 | ISO 18752 | EN 856 R13 | MSHA IC-84/56,,16.0,2000.0,29000.0,
AEQROQUIP,DANFOSS,EC850-12,500.0,7250.0,33.3,1.31,19,0.75, -40°C to 100°C,215.0,4S - 4 Wire Spiral,SAE 100R15 | ISO 18752 | EN 856 R13 | MSHA IC-84/56,,19.0,2000.0,29000.0,
AEQROQUIP,DANFOSS,EC850-16,500.0,7250.0,40.4,1.59,25.4,1, -40°C to 100°C,270.0,4S- 4 Wire Spiral,SAE 100R15 | ISO 18752 | EN 856 R13 | MSHA IC-84/56,,25.0,2000.0,29000.0,
AEQROQUIP,DANFOSS,EC850-20,500.0,7250.0,50.9,2.0,31.8,1.25, -40°C to 100°C,380.0,6S - 6 Wire Spiral,SAE 100R15 | ISO 18752 | EN 856 R13 | MSHA IC-84/56,,31.0,2000.0,29000.0,
AEQROQUIP,DANFOSS,FC510-10,190.0,2750.0,24.4,0.96,25.9,0.63, -40°C to 149°C,152.0,Hi-Pac® one wire braid,EN 857 1SC | MSHA IC-84/18 • DNV • USCG,,16.0,760.0,11000.0,
AEQROQUIP,DANFOSS,FC510-12,155.0,2250.0,28.2,1.11,19,0.75, -40°C to 149°C,178.0,Hi-Pac® one wire braid,EN 857 1SC | MSHA IC-84/18 • DNV • USCG,,19.0,620.0,9000.0,
AEQROQUIP,DANFOSS,FC510-16,138.0,2000.0,35.2,1.39,25.4,1, -40°C to 149°C,229.0,Hi-Pac® one wire braid,EN 857 1SC | MSHA IC-84/18 • DNV • USCG,,25.0,552.0,8000.0,
AEQROQUIP,DANFOSS,FC510-20,112.0,1625.0,43.7,1.72,31.8,1.25, -40°C to 149°C,279.0,Hi-Pac® one wire braid,EN 857 1SC | MSHA IC-84/18 • DNV • USCG,,31.0,448.0,6500.0,
AEQROQUIP,DANFOSS,FC510-4,345.0,5000.0,14.9,0.59,6.4,0.25, -40°C to 149°C,76.0,Hi-Pac® one wire braid,EN 857 1SC | MSHA IC-84/18 • DNV • USCG,,6.0,1.38,20000.0,
AEQROQUIP,DANFOSS,FC510-6,275.0,4000.0,18.2,0.72,9.5,0.37, -40°C to 149°C,89.0,Hi-Pac® one wire braid,EN 857 1SC | MSHA IC-84/18 • DNV • USCG,,10.0,1.1,16000.0,
AEQROQUIP,DANFOSS,FC510-8,240.0,3500.0,20.7,0.81,12.7,0.5, -40°C to 149°C,127.0,Hi-Pac® one wire braid,EN 857 1SC | MSHA IC-84/18 • DNV • USCG,,12.0,960.0,14000.0,
AEQROQUIP,DANFOSS,FC619-12,21.0,300.0,30.7,1.21,19.1,0.75,-40°C to +135°C,63.5,Helical wire between two textile reinforcement layers, SAE 100R4 | EN 45545 | MSHA IC-84/19 • EN45545,,,84.0,1200.0,
AEQROQUIP,DANFOSS,FC619-16,17.0,250.0,37.6,1.48,25.4,1,-40°C to +135°C,76.2,Helical wire between two textile reinforcement layers, SAE 100R4 | EN 45545 | MSHA IC-84/19 • EN45545,,,70.0,1000.0,
AEQROQUIP,DANFOSS,FC619-20,14.0,200.0,44.5,1.75,31.8,1.25,-40°C to +135°C,102.0,Helical wire between two textile reinforcement layers, SAE 100R4 | EN 45545 | MSHA IC-84/19 • EN45545,,,56.0,800.0,
AEQROQUIP,DANFOSS,FC619-24,10.5,150.0,51.8,2.04,38.1,1.5,-40°C to +135°C,127.0,Helical wire between two textile reinforcement layers, SAE 100R4 | EN 45545 | MSHA IC-84/19 • EN45545,,,42.0,600.0,
AEQROQUIP,DANFOSS,FC619-32,7.0,100.0,64.8,2.55,50.8,2,-40°C to +135°C,152.4,Helical wire between two textile reinforcement layers, SAE 100R4 | EN 45545 | MSHA IC-84/19 • EN45545,,,28.0,400.0,
AEQROQUIP,DANFOSS,FC619-40,4.0,62.0,79.2,3.12,63.5,2.5,-40°C to +135°C,355.6,Helical wire between two textile reinforcement layers, SAE 100R4 | EN 45545 | MSHA IC-84/19 • EN45545,,,17.0,250.0,
AEQROQUIP,DANFOSS,FC619-48,4.0,62.0,95.3,3.17,76.2,3,-40°C to +135°C,457.2,Helical wire between two textile reinforcement layers, SAE 100R4 | EN 45545 | MSHA IC-84/19 • EN45545,,,16.0,225.0,
AEQROQUIP,DANFOSS,GH466-20,420.0,6100.0,51.3,2.02,31.8,1.25, -40°C to 121°C,420.0,6S - 6 Wire Spiral,SAE 100R15 | EN 856 R13 MSHA | DNV | ABS,,31.0,1680.0,24400.0,
AEQROQUIP,DANFOSS,GH466-24,420.0,6100.0,58.8,2.31,38.1,1.5, -40°C to 121°C,500.0,6S - 6 Wire Spiral,SAE 100R15 | EN 856 R13 MSHA | DNV | ABS,,38.0,1680.0,24400.0,
AEQROQUIP,DANFOSS,GH466-32,420.0,6100.0,72.7,2.86,50.8,2, -40°C to 121°C,630.0,6S - 6 Wire Spiral,SAE 100R15 | EN 856 R13 MSHA | DNV | ABS,,51.0,1680.0,24400.0,
AEQROQUIP,DANFOSS,GH506-12,420.0,6100.0,33.0,1.3,19,0.75, -40°C to 100°C,280.0,4S - 4 Wire Spiral,EN 856 4SH Performance MSHA IC-84/41,,19.0,1680.0,24400.0,
AEQROQUIP,DANFOSS,GH506-16,420.0,6100.0,39.9,1.57,25.4,1, -40°C to 100°C,340.0,4S - 4 Wire Spiral,EN 856 4SH Performance MSHA IC-84/41,,25.0,1680.0,24400.0,
AEQROQUIP,DANFOSS,GH506-20,350.0,5100.0,47.1,1.87,31.8,1.25, -40°C to 100°C,460.0,4S - 4 Wire Spiral,EN 856 4SH Performance MSHA IC-84/41,,31.0,1400.0,20300.0,
AEQROQUIP,DANFOSS,GH506-24,300.0,4350.0,55.1,2.17,38.1,"1,5.", -40°C to 100°C,560.0,4S - 4 Wire Spiral,EN 856 4SH Performance MSHA IC-84/41,,38.0,1200.0,17400.0,
AEQROQUIP,DANFOSS,GH506-32,250.0,3650.0,69.7,2.74,50.8,2, -40°C to 100°C,700.0,4S - 4 Wire Spiral,EN 856 4SH Performance MSHA IC-84/41,,51.0,1000.0,14500.0,
AEROQUIP,DANFOSS,FC500-12,350.0,5100.0,31.0,1.22,19,0.75, -40°C to 127°C,121.0,4S - 4 Wire Spiral (4S),SAE 100R13 | EN 856 R13 | ISO 3862 R13,,,1400.0,20400.0,Half Bend
AEROQUIP,DANFOSS,FC500-16,350.0,5100.0,38.4,1.51,25.4,1, -40°C to 127°C,152.0,4S - 4 Wire Spiral,SAE 100R13 | EN 856 R13 | ISO 3862 R13,,,1400.0,20400.0,Half Bend
AEROQUIP,DANFOSS,FC500-20,350.0,5100.0,45.5,1.79,31.8,1.25, -40°C to 127°C,210.0,4S - 4 Wire Spiral,SAE 100R13 | EN 856 R13 | ISO 3862 R13,,,1400.0,20400.0,Half Bend
AEROQUIP,DANFOSS,FC500-24,350.0,5100.0,53.5,2.11,38.1,1.5, -40°C to 127°C,254.0,4S - 4 Wire Spiral,SAE 100R13 | EN 856 R13 | ISO 3862 R13,,,1400.0,20400.0,Half Bend
AEROQUIP,DANFOSS,FC500-32,350.0,5100.0,71.8,2.83,50.8,2, -40°C to 127°C,476.0,6S - 6 Wire Spiral,SAE 100R13 | EN 856 R13 | ISO 3862 R13,,,1400.0,20400.0,Half Bend
AEROQUIP,DANFOSS,GH120-10,276.0,4000.0,24.9,0.98,15.9,0.62, -57°C to 100°C,,2S - 2 Wire Barid,SAE 100R16 | EN 857 2SC | ISO 11237-1 2SC | MSHA,,,,,
AEROQUIP,DANFOSS,GH120-12,241.0,3500.0,28.4,1.12,19,0.75, -57°C to 100°C,,2S - 2 Wire Barid,SAE 100R16 | EN 857 2SC | ISO 11237-1 2SC | MSHA,,,,,
AEROQUIP,DANFOSS,GH120-16,193.0,2800.0,35.7,1.41,25.4,1, -57°C to 100°C,,2S - 2 Wire Barid,SAE 100R16 | EN 857 2SC | ISO 11237-1 2SC | MSHA,,,,,
AEROQUIP,DANFOSS,GH120-20,159.0,2300.0,43.3,1.71,31.8,1.25, -57°C to 100°C,,2S - 2 Wire Barid,SAE 100R16 | EN 857 2SC | ISO 11237-1 2SC | MSHA,,,,,
AEROQUIP,DANFOSS,GH120-24,138.0,2000.0,51.5,2.03,38.1,1.5, -57°C to 100°C,,2S - 2 Wire Barid,SAE 100R16 | EN 857 2SC | ISO 11237-1 2SC | MSHA,,,,,
AEROQUIP,DANFOSS,GH120-32,103.0,1500.0,63.9,2.51,50.8,2, -57°C to 100°C,,2S - 2 Wire Barid,SAE 100R16 | EN 857 2SC | ISO 11237-1 2SC | MSHA,,,,,
AEROQUIP,DANFOSS,GH120-4,414.0,6000.0,13.8,0.54,6.4,0.25, -57°C to 100°C,,2S - 2 Wire Barid,SAE 100R16 | EN 857 2SC | ISO 11237-1 2SC | MSHA,,,,,
AEROQUIP,DANFOSS,GH120-6,345.0,5000.0,17.4,0.68,9.5,0.38, -57°C to 100°C,,2S - 2 Wire Barid,SAE 100R16 | EN 857 2SC | ISO 11237-1 2SC | MSHA,,,,,
AEROQUIP,DANFOSS,GH120-8,310.0,4500.0,20.8,0.82,12.7,0.5, -57°C to 100°C,,2S - 2 Wire Barid,SAE 100R16 | EN 857 2SC | ISO 11237-1 2SC | MSHA,,,,,
AEROQUIP,DANFOSS,GH195-10,250.0,3650.0,25.5,1.0,15.9,0.62, -40°C to 150°C,,2S - 2 Wire Barid,SAE 100R | EN 853 2SN | ISO 1436-1 2SN | MSHA IC-84/18 • ABS • DNV • USCG,,,,,
AEROQUIP,DANFOSS,GH195-12,215.0,3125.0,29.5,1.16,19,0.75, -40°C to 150°C,,2S - 2 Wire Barid,SAE 100R | EN 853 2SN | ISO 1436-1 2SN | MSHA IC-84/18 • ABS • DNV • USCG,,,,,
AEROQUIP,DANFOSS,GH195-16,175.0,2550.0,37.8,1.49,25.4,1, -40°C to 150°C,,2S - 2 Wire Barid,SAE 100R | EN 853 2SN | ISO 1436-1 2SN | MSHA IC-84/18 • ABS • DNV • USCG,,,,,
AEROQUIP,DANFOSS,GH195-20,155.0,2250.0,48.5,1.91,31.8,1.25, -40°C to 150°C,,2S - 2 Wire Barid,SAE 100R | EN 853 2SN | ISO 1436-1 2SN | MSHA IC-84/18 • ABS • DNV • USCG,,,,,
AEROQUIP,DANFOSS,GH195-24,125.0,1800.0,55.1,2.17,38.1,1.5, -40°C to 150°C,,2S - 2 Wire Barid,SAE 100R | EN 853 2SN | ISO 1436-1 2SN | MSHA IC-84/18 • ABS • DNV • USCG,,,,,
AEROQUIP,DANFOSS,GH195-28,1525.0,420.0,67.8,2.67,50.8,2, -40°C to 150°C,,2S - 2 Wire Barid,SAE 100R | EN 853 2SN | ISO 1436-1 2SN | MSHA IC-84/18 • ABS • DNV • USCG,,,,,
AEROQUIP,DANFOSS,GH195-4,400.0,5800.0,15.1,0.6,6.4,0.25, -40°C to 150°C,,2S - 2 Wire Barid,SAE 100R | EN 853 2SN | ISO 1436-1 2SN | MSHA IC-84/18 • ABS • DNV • USCG,,,,,
AEROQUIP,DANFOSS,GH195-6,345.0,5000.0,19.2,0.75,9.5,0.38, -40°C to 150°C,,2S - 2 Wire Barid,SAE 100R | EN 853 2SN | ISO 1436-1 2SN | MSHA IC-84/18 • ABS • DNV • USCG,,,,,
AEROQUIP,DANFOSS,GH195-8,293.0,4250.0,22.1,0.87,12.7,0.5, -40°C to 150°C,,2S - 2 Wire Barid,SAE 100R | EN 853 2SN | ISO 1436-1 2SN | MSHA IC-84/18 • ABS • DNV • USCG,,,,,
AEROQUIP,DANFOSS,GH425-10,420.0,6100.0,28.1,1.11,15.9,0.62, -40°C to 100°C,250.0,,,,16.0,1680.0,24400.0,
AEROQUIP,DANFOSS,GH425-12,380.0,5500.0,32.9,1.3,19.1,0.75, -40°C to 100°C,300.0,,,,19.0,1520.0,22000.0,
AEROQUIP,DANFOSS,GH425-16,320.0,4650.0,39.8,1.57,25.4,1, -40°C to 100°C,340.0,,,,25.0,1280.0,18600.0,
AEROQUIP,DANFOSS,GH425-16,320.0,4050.0,39.8,1.57,25.4,1,,340.0,,,,,1280.0,18600.0,
AEROQUIP,DANFOSS,GH425-6,490.0,7100.0,20.9,0.82,9.5,0.38, -40°C to 100°C,180.0,,,,10.0,1960.0,28400.0,
AEROQUIP,DANFOSS,GH425-8,420.0,6100.0,24.4,0.96,12:07:00,0.5, -40°C to 100°C,230.0,,,,12.0,1680.0,24400.0,
AEROQUIP,DANFOSS,GH466-20,420.0,6100.0,51.3,2.02,31.8,1.25,,,,,,,,,
AEROQUIP,DANFOSS,GH466-24,420.0,6100.0,58.8,2.31,38.1,1.5,,,,,,,,,
AEROQUIP,DANFOSS,GH466-32,420.0,6100.0,72.7,2.86,50.8,2,,,,,,,,,
AEROQUIP,DANFOSS,GH493-06,,,,,,,,,,,,,,,
AEROQUIP,DANFOSS,GH493-08,,,,,,,,,,,,,,,
AEROQUIP,DANFOSS,GH493-10,,,,,,,,,,,,,,,
AEROQUIP,DANFOSS,GH493-12,,,,,,,,,,,,,,,
AEROQUIP,DANFOSS,GH493-16,,,,,,,,,,,,,,,
AEROQUIP,DANFOSS,GH493-20,,,,,,,,,,,,,,,
AEROQUIP,DANFOSS,GH493-24,,,,,,,,,,,,,,,
AEROQUIP,DANFOSS,GH493-32,,,,,,,,,,,,,,,
AEROQUIP,DANFOSS,GH506-12*,420.0,6100.0,33.0,1.3,19,0.75,,,,,,,,,
AEROQUIP,DANFOSS,GH506-16*,420.0,6100.0,39.9,1.57,25.4,1,,,,,,,,,
AEROQUIP,DANFOSS,GH506-20,350.0,5100.0,47.1,1.85,31.8,1.25,,,,,,,,,
AEROQUIP,DANFOSS,GH506-24,300.0,4350.0,55.1,2.17,38.1,1.05,,,,,,,,,
AEROQUIP,DANFOSS,GH506-32,250.0,3650.0,69.7,2.74,50.8,2,,,,,,,,,
AEROQUIP,DANFOSS,GH681-10,140.0,2025.0,22.3,0.88,15.9,0.63, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-12,138.0,2000.0,26.0,1.02,19,0.75, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-16,103.0,1500.0,34.0,1.34,25.4,1, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-20,69.0,1000.0,41.5,1.63,31.8,1.25, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-24,52.0,750.0,47.9,1.89,38.1,1.5, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-3,250.0,3625.0,10.9,0.42,4.8,0.19, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-32,41.0,600.0,64.0,2.52,50.8,2, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-4,255.0,3700.0,12.9,0.51,6.4,0.25, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-5,225.0,3250.0,14.0,0.55,7.9,0.31, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-6,235.0,3400.0,16.3,0.64,9.5,0.38, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH681-8,221.0,3200.0,19.9,0.78,2.7,0.5, -46°C to 126°C,,,,,,,,
AEROQUIP,DANFOSS,GH781-10,276.0,4000.0,23.6,0.93,15.9,0.82,,101.6,,,,,1104.0,16000.0,
AEROQUIP,DANFOSS,GH781-12,241.0,3500.0,27.9,1.1,19,0.75,,120.7,,,,,964.0,14000.0,
AEROQUIP,DANFOSS,GH781-16,207.0,3000.0,36.1,1.42,25.4,1,,152.4,,,,,828.0,12000.0,
AEROQUIP,DANFOSS,GH781-20,172.0,2500.0,41.9,1.65,31.8,1.25,,209.6,,,,,688.0,10000.0,
AEROQUIP,DANFOSS,GH781-24,138.0,2000.0,51.6,2.03,38.1,1.5,,254.0,,,,,552.0,8000.0,
AEROQUIP,DANFOSS,GH781-32,110.0,1600.0,64.3,2.53,50.8,2,,317.5,,,,,440.0,6400.0,
AEROQUIP,DANFOSS,GH781-4,448.0,6500.0,14.5,0.57,6.4,0.25, -46 C to 126 C,50.0,,,,,1792.0,26000.0,
AEROQUIP,DANFOSS,GH781-6,266.0,5800.0,17.5,0.69,9.5,0.38,,63.5,,,,,1400.0,20400.0,
AEROQUIP,DANFOSS,GH781-8,310.0,5000.0,20.6,0.81,12.7,0.5,,99.0,,,,,1240.0,20000.0,
ALFAGOMMA,ALFAGOMMA GROUP,1SN-16,250.0,3626.0,34.4,1.354,26.6,1.047,-50 to 100,124.1,2 Wire Braid,EN 853 2SN,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,1SN-32,320.0,4641.0,60.1,2.366,51.2,2.016,-40 to 150,82.9,4S - 4 Wire Spiral,ISO 18752 A/D,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,1SN-4,275.0,3989.0,12.3,0.484,6,0.236,-40 to 120,94.1,6S - 6 Wire Spiral,SAE 100 R1,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,1SN-6,350.0,5076.0,15.6,0.614,9.1,0.358,-50 to 120,150.4,2 Wire Braid,SAE 100 R13,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,2SN-12,215.0,3118.0,28.5,1.122,19.8,0.78,-30 to 150,226.5,4S - 4 Wire Spiral,EN 853 1SN,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,2SN-16,200.0,2901.0,31.1,1.224,27,1.063,-50 to 100,192.8,2 Wire Braid,SAE 100 R15,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,2SN-24,320.0,4641.0,44.4,1.748,39.4,1.551,-50 to 120,116.9,1 Wire Braid,EN 853 2SN,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,2SN-4,275.0,3989.0,15.0,0.591,6.3,0.248,-50 to 120,165.2,1 Wire Braid,EN 853 2SN,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,2SN-8,225.0,3263.0,18.4,0.724,11.3,0.445,-40°C to 100°C,254.4,1 Wire Braid,SAE 100 R12,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,4SH-10,420.0,6092.0,22.4,0.882,15.8,0.622,-50 to 120,164.0,2 Wire Braid,SAE 100 R1,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,4SH-16,380.0,5511.0,34.4,1.354,26.9,1.059,-50 to 150,199.6,1 Wire Braid,EN 856 4SP,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,4SH-8,320.0,4641.0,21.4,0.843,11.8,0.465,-50 to 120,124.8,2 Wire Braid,EN 856 4SH,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,4SP-12,300.0,4351.0,23.1,0.909,16.9,0.665,-50 to 100,211.2,1 Wire Braid,SAE 100 R12,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,4SP-24,350.0,5076.0,43.5,1.713,36.4,1.433,-50 to 125,185.2,2 Wire Braid,SAE 100 R13,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,4SP-6,250.0,3626.0,15.4,0.606,9.5,0.374,-40 to 120,157.9,2 Wire Braid,SAE 100 R12,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,4SP-6,250.0,3626.0,18.1,0.713,9.2,0.362,-50 to 100,161.9,6S - 6 Wire Spiral,SAE 100 R15,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,GH-20,180.0,2611.0,38.6,1.52,32.6,1.283,-50 to 150,144.5,4S - 4 Wire Spiral,EN 853 1SN,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,GH-32,450.0,6527.0,59.9,2.358,53.9,2.122,-30 to 120,160.7,1 Wire Braid,EN 853 1SN,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,HP-12,350.0,5076.0,25.3,0.996,20.3,0.799,-30 to 150,137.2,6S - 6 Wire Spiral,SAE 100 R15,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,HP-20,350.0,5076.0,34.3,1.35,29,1.142,-30 to 125,72.0,1 Wire Braid,SAE 100 R13,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,HP-24,500.0,7252.0,40.3,1.587,33.9,1.335,-30 to 120,222.6,2 Wire Braid,EN 856 4SH,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,HP-32,160.0,2321.0,60.4,2.378,51.7,2.035,-30 to 125,134.2,6S - 6 Wire Spiral,ISO 18752 A/D,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,M2T-16,200.0,2901.0,33.1,1.303,25.4,1,-40°C to 100°C,227.4,1 Wire Braid,SAE 100 R1,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R1-20,450.0,6527.0,39.5,1.555,33.7,1.327,-50 to 125,200.3,2 Wire Braid,EN 856 4SH,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R1-20,180.0,2611.0,38.7,1.524,30,1.181,-40°C to 125°C,258.0,1 Wire Braid,SAE 100 R2,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R1-24,275.0,3989.0,46.1,1.815,39.5,1.555,-50 to 150,254.8,6S - 6 Wire Spiral,EN 853 2SN,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R1-4,225.0,3263.0,15.7,0.618,5.8,0.228,-40 to 150,138.9,4S - 4 Wire Spiral,SAE 100 R2,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R2-12,300.0,4351.0,29.3,1.154,20.3,0.799,-40 to 150,68.2,6S - 6 Wire Spiral,SAE 100 R13,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R2-20,215.0,3118.0,39.3,1.547,32,1.26,-50 to 120,278.0,4S - 4 Wire Spiral,EN 856 4SP,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R2-24,450.0,6527.0,44.9,1.768,35.7,1.406,-30 to 125,184.6,4S - 4 Wire Spiral,EN 856 4SH,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R2-32,420.0,6092.0,54.8,2.157,48.1,1.894,-30 to 120,291.8,6S - 6 Wire Spiral,SAE 100 R15,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R2-4,275.0,3989.0,12.5,0.492,6.6,0.26,-50 to 120,178.2,1 Wire Braid,SAE 100 R12,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R2-4,380.0,5511.0,13.2,0.52,6.5,0.256,-30 to 120,225.0,1 Wire Braid,SAE 100 R15,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,R2-8,350.0,5076.0,19.7,0.776,12.8,0.504,-30 to 125,211.7,6S - 6 Wire Spiral,EN 856 4SH,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,XT-10,180.0,2611.0,22.5,0.886,16.9,0.665,-30 to 100,266.6,1 Wire Braid,SAE 100 R13,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,XT-10,180.0,2611.0,21.5,0.846,14.6,0.575,-50 to 125,135.7,4S - 4 Wire Spiral,SAE 100 R15,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,XT-10,350.0,5076.0,19.0,0.748,14.5,0.571,-30 to 100,294.0,4S - 4 Wire Spiral,SAE 100 R12,,,,,
ALFAGOMMA,ALFAGOMMA GROUP,XT-12,350.0,5076.0,26.3,1.035,18.3,0.72,-40 to 150,107.7,4S - 4 Wire Spiral,EN 856 4SP,,,,,
